"Dossier_ID","Gemeente","X","Y","OBJECTID","GlobalID","Laatst_Bewerkt_Datum","p_field","p_key","p_value"
402440000,"Deinze",91901.25812115,197283.71283789,27165,"3E156F95-E179-4465-B729-429D3CC762B3",2023-04-03 10:15:41.000000,"p_waarneming","Vastgesteld (aantal)",2
402440000,"Deinze",91901.25812115,197283.71283789,27165,"3E156F95-E179-4465-B729-429D3CC762B3",2023-04-03 10:15:41.000000,"p_waarneming","",
402440000,"Deinze",91901.25812115,197283.71283789,27165,"3E156F95-E179-4465-B729-429D3CC762B3",2023-04-03 10:15:41.000000,"p_actie","Eieren geschud (aantal)",5
402440000,"Deinze",91901.25812115,197283.71283789,27165,"3E156F95-E179-4465-B729-429D3CC762B3",2023-04-03 10:15:41.000000,"p_actie","",
403180000,"Dentergem",83412.09761308,183676.87573602,27635,"17D4F28A-6D65-4C6D-B492-9B68A33A8BFB",2023-04-05 10:42:21.000000,"p_waarneming","Vastgesteld (aantal)",2
403180000,"Dentergem",83412.09761308,183676.87573602,27635,"17D4F28A-6D65-4C6D-B492-9B68A33A8BFB",2023-04-05 10:42:21.000000,"p_waarneming","",
403180000,"Dentergem",83412.09761308,183676.87573602,27635,"17D4F28A-6D65-4C6D-B492-9B68A33A8BFB",2023-04-05 10:42:21.000000,"p_actie","Eieren geschud (aantal)",5
403180000,"Dentergem",83412.09761308,183676.87573602,27635,"17D4F28A-6D65-4C6D-B492-9B68A33A8BFB",2023-04-05 10:42:21.000000,"p_actie","",
404380000,"Dendermonde",129532.90943122,192914.27214064,28585,"17964B3A-9BC4-46E8-923B-04D7243F6F9A",2023-04-11 11:27:00.000000,"p_waarneming","Vastgesteld (aantal)",1
404380000,"Dendermonde",129532.90943122,192914.27214064,28585,"17964B3A-9BC4-46E8-923B-04D7243F6F9A",2023-04-11 11:27:00.000000,"p_waarneming","",
404380000,"Dendermonde",129532.90943122,192914.27214064,28585,"17964B3A-9BC4-46E8-923B-04D7243F6F9A",2023-04-11 11:27:00.000000,"p_actie","Eieren geschud (aantal)",2
404380000,"Dendermonde",129532.90943122,192914.27214064,28585,"17964B3A-9BC4-46E8-923B-04D7243F6F9A",2023-04-11 11:27:00.000000,"p_actie","",
405460000,"Geraardsbergen",115604.49571719,162254.31802907,29626,"02D53F31-F1D1-407A-8337-E219172902C0",2023-04-17 07:03:47.000000,"p_waarneming","Vastgesteld (aantal)",1
405460000,"Geraardsbergen",115604.49571719,162254.31802907,29626,"02D53F31-F1D1-407A-8337-E219172902C0",2023-04-17 07:03:47.000000,"p_waarneming","",
405460000,"Geraardsbergen",115604.49571719,162254.31802907,29626,"02D53F31-F1D1-407A-8337-E219172902C0",2023-04-17 07:03:47.000000,"p_actie","Eieren geschud (aantal)",7
405460000,"Geraardsbergen",115604.49571719,162254.31802907,29626,"02D53F31-F1D1-407A-8337-E219172902C0",2023-04-17 07:03:47.000000,"p_actie","",
406090000,"Beveren-Kruibeke-Zwijndrecht",143602.17544763,219538.76629447,29982,"A143B340-8D51-40E9-8590-66E383510731",2023-04-18 08:51:00.000000,"p_waarneming","Vastgesteld (aantal)",60
406090000,"Beveren-Kruibeke-Zwijndrecht",143602.17544763,219538.76629447,29982,"A143B340-8D51-40E9-8590-66E383510731",2023-04-18 08:51:00.000000,"p_waarneming","",
406090000,"Beveren-Kruibeke-Zwijndrecht",143602.17544763,219538.76629447,29982,"A143B340-8D51-40E9-8590-66E383510731",2023-04-18 08:51:00.000000,"p_actie","Eieren geschud (aantal)",110
